raw_source_name,raw_source_type,raw_source_url,parser_type,school_name,school_code,school_province,city,school_level,school_tags,major_name,major_code,major_category,direction_tags,major_description,career_paths,admission_year,admission_province,subject_type,batch,major_group_code,elective_requirement,min_score,min_rank,plan_count,tuition,campus,source_name,source_url,raw_text
四川省教育考试院原始数据源（示例）,official,https://www.sceea.cn/,manual_upload,川蜀智能科技大学（示例）,RAW001,四川,成都,本科院校（示例）,"示例院校,人工智能特色",人工智能,080717T,工学,"AI算法,大模型应用",示例专业描述：学习人工智能基础与工程应用,"算法工程师,大模型应用工程师",2025,四川,理科,本科批,W01,物理+化学,650,5000,18,6500元/年（示例）,主校区（示例）,四川省教育考试院（示例）,https://www.sceea.cn/,原始文本示例：川蜀智能科技大学人工智能专业2025年四川理科本科批最低分650最低位次5000
四川省教育考试院原始数据源（示例）,official,https://www.sceea.cn/,manual_upload,川蜀智能科技大学（示例）,RAW001,四川,成都,本科院校（示例）,"示例院校,人工智能特色",计算机科学与技术,080901,工学,"AI算法,Agent",示例专业描述：学习计算机系统与智能软件开发,"软件工程师,Agent开发工程师",2025,四川,理科,本科批,W02,物理+化学,642,7500,22,6500元/年（示例）,主校区（示例）,四川省教育考试院（示例）,https://www.sceea.cn/,原始文本示例：计算机科学与技术专业2025年四川理科本科批最低分642最低位次7500
四川省教育考试院原始数据源（示例）,official,https://www.sceea.cn/,manual_upload,天府未来工程学院（示例）,RAW002,四川,绵阳,本科院校（示例）,"示例院校,智能工程特色",机器人工程,080803T,工学,"机器人,智能制造",示例专业描述：学习机器人感知控制与工程实践,"机器人工程师,控制算法工程师",2025,四川,理科,本科批,W03,物理+化学,620,12500,20,6200元/年（示例）,科技城校区（示例）,四川省教育考试院（示例）,https://www.sceea.cn/,原始文本示例：机器人工程专业2025年四川理科本科批最低分620最低位次12500
四川省教育考试院原始数据源（示例）,official,https://www.sceea.cn/,manual_upload,天府未来工程学院（示例）,RAW002,四川,绵阳,本科院校（示例）,"示例院校,智能工程特色",智能制造工程,080213T,工学,"智能制造,机器人",示例专业描述：学习数字化制造与智能装备技术,"智能制造工程师,工业软件工程师",2025,四川,理科,本科批,W03,物理+化学,608,18000,24,6200元/年（示例）,科技城校区（示例）,四川省教育考试院（示例）,https://www.sceea.cn/,原始文本示例：智能制造工程专业2025年四川理科本科批最低分608最低位次18000
四川省教育考试院原始数据源（示例）,official,https://www.sceea.cn/,manual_upload,西部数据智能大学（示例）,RAW003,四川,成都,本科院校（示例）,"示例院校,数据智能特色",数据科学与大数据技术,080910T,工学,"数据智能,AI算法",示例专业描述：学习数据分析机器学习与数据工程,"数据工程师,数据科学家",2025,四川,理科,本科批,W04,物理+化学,595,26000,30,6000元/年（示例）,主校区（示例）,四川省教育考试院（示例）,https://www.sceea.cn/,原始文本示例：数据科学与大数据技术专业2025年四川理科本科批最低分595最低位次26000
四川省教育考试院原始数据源（示例）,official,https://www.sceea.cn/,manual_upload,西部数据智能大学（示例）,RAW003,四川,成都,本科院校（示例）,"示例院校,数据智能特色",软件工程,080902,工学,"大模型应用,Agent",示例专业描述：学习软件系统开发与智能应用构建,"软件工程师,AI应用工程师",2025,四川,理科,本科批,W05,物理+化学,585,33000,28,6000元/年（示例）,主校区（示例）,四川省教育考试院（示例）,https://www.sceea.cn/,原始文本示例：软件工程专业2025年四川理科本科批最低分585最低位次33000
四川省教育考试院原始数据源（示例）,official,https://www.sceea.cn/,manual_upload,成渝智能制造学院（示例）,RAW004,四川,德阳,本科院校（示例）,"示例院校,制造工程特色",自动化,080801,工学,"自动化控制,机器人",示例专业描述：学习控制理论自动化系统与工业控制,"自动化工程师,控制系统工程师",2025,四川,理科,本科批,W06,物理+化学,570,42000,35,5800元/年（示例）,德阳校区（示例）,四川省教育考试院（示例）,https://www.sceea.cn/,原始文本示例：自动化专业2025年四川理科本科批最低分570最低位次42000
四川省教育考试院原始数据源（示例）,official,https://www.sceea.cn/,manual_upload,成渝智能制造学院（示例）,RAW004,四川,德阳,本科院校（示例）,"示例院校,制造工程特色",电子信息工程,080701,工学,"计算机视觉,智能制造",示例专业描述：学习电子系统信号处理与视觉感知基础,"嵌入式工程师,视觉算法工程师",2025,四川,理科,本科批,W07,物理+化学,552,56000,32,5800元/年（示例）,德阳校区（示例）,四川省教育考试院（示例）,https://www.sceea.cn/,原始文本示例：电子信息工程专业2025年四川理科本科批最低分552最低位次56000
四川省教育考试院原始数据源（示例）,official,https://www.sceea.cn/,manual_upload,蜀南应用技术大学（示例）,RAW005,四川,宜宾,本科院校（示例）,"示例院校,应用技术特色",物联网工程,080905,工学,"Agent,智能制造",示例专业描述：学习物联网系统智能设备与边缘应用,"物联网工程师,智能硬件工程师",2025,四川,理科,本科批,W08,物理+化学,535,72000,40,5600元/年（示例）,宜宾校区（示例）,四川省教育考试院（示例）,https://www.sceea.cn/,原始文本示例：物联网工程专业2025年四川理科本科批最低分535最低位次72000
四川省教育考试院原始数据源（示例）,official,https://www.sceea.cn/,manual_upload,蜀南应用技术大学（示例）,RAW005,四川,宜宾,本科院校（示例）,"示例院校,应用技术特色",智能科学与技术,080907T,工学,"AI算法,计算机视觉",示例专业描述：学习智能系统模式识别与视觉应用,"智能系统工程师,计算机视觉工程师",2025,四川,理科,本科批,W09,物理+化学,520,85000,36,5600元/年（示例）,宜宾校区（示例）,四川省教育考试院（示例）,https://www.sceea.cn/,原始文本示例：智能科学与技术专业2025年四川理科本科批最低分520最低位次85000
